date,us_10y,usd_krw,vix,inflation_exp,bok_rate
2020-01-01,,,,,1.25
2020-01-02,1.88,1157.95,12.47,1.8,1.25
2020-01-03,1.8,1165.15,14.02,1.77,1.25
2020-01-04,1.8,1165.15,14.02,1.77,1.25
2020-01-05,1.8,1165.15,14.02,1.77,1.25
2020-01-06,1.81,1167.49,13.85,1.75,1.25
2020-01-07,1.83,1166.21,13.79,1.74,1.25
2020-01-08,1.87,1170.61,13.45,1.75,1.25
2020-01-09,1.85,1158.63,12.54,1.74,1.25
2020-01-10,1.83,1161.18,12.56,1.76,1.25
2020-01-11,1.83,1161.18,12.56,1.76,1.25
2020-01-12,1.83,1161.18,12.56,1.76,1.25
2020-01-13,1.85,1156.25,12.32,1.77,1.25
2020-01-14,1.82,1156.28,12.39,1.77,1.25
2020-01-15,1.79,1156.84,12.42,1.75,1.25
2020-01-16,1.81,1160.86,12.32,1.74,1.25
2020-01-17,1.84,1159.08,12.1,1.75,1.25
2020-01-18,1.84,1159.08,12.1,1.75,1.25
2020-01-19,1.84,1159.08,12.1,1.75,1.25
2020-01-20,1.84,1159.08,12.1,1.75,1.25
2020-01-21,1.78,1166.56,12.85,1.74,1.25
2020-01-22,1.77,1165.68,12.91,1.72,1.25
2020-01-23,1.74,1168.38,12.98,1.7,1.25
2020-01-24,1.7,1166.91,14.56,1.68,1.25
2020-01-25,1.7,1166.91,14.56,1.68,1.25
2020-01-26,1.7,1166.91,14.56,1.68,1.25
2020-01-27,1.61,1176.2,18.23,1.63,1.25
2020-01-28,1.65,1176.23,16.28,1.65,1.25
2020-01-29,1.6,1176.98,16.39,1.64,1.25
2020-01-30,1.57,1191.94,15.49,1.64,1.25
2020-01-31,1.51,1191.3,18.84,1.65,1.25
2020-02-01,1.51,1191.3,18.84,1.65,1.25
2020-02-02,1.51,1191.3,18.84,1.65,1.25
2020-02-03,1.54,1194.8,17.97,1.63,1.25
2020-02-04,1.61,1184.51,16.05,1.64,1.25
2020-02-05,1.66,1187.25,15.15,1.66,1.25
2020-02-06,1.65,1179.64,14.96,1.67,1.25
2020-02-07,1.59,1186.24,15.47,1.66,1.25
2020-02-08,1.59,1186.24,15.47,1.66,1.25
2020-02-09,1.59,1186.24,15.47,1.66,1.25
2020-02-10,1.56,1186.96,15.04,1.66,1.25
2020-02-11,1.59,1181.32,15.18,1.65,1.25
2020-02-12,1.62,1178.98,13.74,1.66,1.25
2020-02-13,1.61,1182.02,14.15,1.67,1.25
2020-02-14,1.59,1183.2,13.68,1.66,1.25
2020-02-15,1.59,1183.2,13.68,1.66,1.25
2020-02-16,1.59,1183.2,13.68,1.66,1.25
2020-02-17,1.59,1183.2,13.68,1.66,1.25
2020-02-18,1.55,1190.6,14.83,1.65,1.25
2020-02-19,1.56,1191.1,14.38,1.65,1.25
2020-02-20,1.52,1198.34,15.56,1.63,1.25
2020-02-21,1.46,1207.91,17.08,1.61,1.25
2020-02-22,1.46,1207.91,17.08,1.61,1.25
2020-02-23,1.46,1207.91,17.08,1.61,1.25
2020-02-24,1.38,1218.5,25.03,1.59,1.25
2020-02-25,1.33,1214.45,27.85,1.53,1.25
2020-02-26,1.33,1213.61,27.56,1.54,1.25
2020-02-27,1.3,1217.03,39.16,1.53,1.25
2020-02-28,1.13,1214.92,40.11,1.41,1.25
2020-02-29,1.13,1214.92,40.11,1.41,1.25
2020-03-01,1.13,1214.92,40.11,1.41,0.75
2020-03-02,1.1,1190.89,33.42,1.41,0.75
2020-03-03,1.02,1194.66,36.82,1.45,0.75
2020-03-04,1.02,1187.54,31.99,1.46,0.75
2020-03-05,0.92,1181.11,39.62,1.4,0.75
2020-03-06,0.74,1192.0,41.94,1.31,0.75
2020-03-07,0.74,1192.0,41.94,1.31,0.75
2020-03-08,0.74,1192.0,41.94,1.31,0.75
2020-03-09,0.54,1203.75,54.46,0.99,0.75
2020-03-10,0.76,1193.1,47.3,1.0,0.75
2020-03-11,0.82,1194.16,53.9,0.96,0.75
2020-03-12,0.88,1206.19,75.47,0.92,0.75
2020-03-13,0.94,1211.7,57.83,0.9,0.75
2020-03-14,0.94,1211.7,57.83,0.9,0.75
2020-03-15,0.94,1211.7,57.83,0.9,0.75
2020-03-16,0.73,1225.33,82.69,0.73,0.75
2020-03-17,1.02,1240.98,75.91,0.63,0.75
2020-03-18,1.18,1245.19,76.45,0.63,0.75
2020-03-19,1.12,1250.86,72.0,0.5,0.75
2020-03-20,0.92,1250.55,66.04,0.75,0.75
2020-03-21,0.92,1250.55,66.04,0.75,0.75
2020-03-22,0.92,1250.55,66.04,0.75,0.75
2020-03-23,0.76,1267.25,61.59,0.8,0.75
2020-03-24,0.84,1249.88,61.67,0.97,0.75
2020-03-25,0.88,1228.15,63.95,1.07,0.75
2020-03-26,0.83,1233.47,61.0,1.07,0.75
2020-03-27,0.72,1210.49,65.54,0.94,0.75
2020-03-28,0.72,1210.49,65.54,0.94,0.75
2020-03-29,0.72,1210.49,65.54,0.94,0.75
2020-03-30,0.7,1224.11,57.08,0.95,0.75
2020-03-31,0.7,1218.92,53.54,0.87,0.75
2020-04-01,0.62,1229.65,57.06,0.91,0.75
2020-04-02,0.63,1229.89,50.91,1.03,0.75
2020-04-03,0.62,1230.56,46.8,1.08,0.75
2020-04-04,0.62,1230.56,46.8,1.08,0.75
2020-04-05,0.62,1230.56,46.8,1.08,0.75
2020-04-06,0.67,1224.6,45.24,1.14,0.75
2020-04-07,0.75,1220.43,46.7,1.17,0.75
2020-04-08,0.77,1220.77,43.35,1.19,0.75
2020-04-09,0.73,1219.71,41.67,1.23,0.75
2020-04-10,0.73,1211.71,41.67,1.23,0.75
2020-04-11,0.73,1211.71,41.67,1.23,0.75
2020-04-12,0.73,1211.71,41.67,1.23,0.75
2020-04-13,0.76,1217.72,41.17,1.26,0.75
2020-04-14,0.76,1216.85,37.76,1.29,0.75
2020-04-15,0.63,1224.55,40.84,1.19,0.75
2020-04-16,0.61,1228.21,40.11,1.03,0.75
2020-04-17,0.65,1217.81,38.15,1.01,0.75
2020-04-18,0.65,1217.81,38.15,1.01,0.75
2020-04-19,0.65,1217.81,38.15,1.01,0.75
2020-04-20,0.63,1217.29,43.83,0.94,0.75
2020-04-21,0.58,1229.28,45.41,0.96,0.75
2020-04-22,0.63,1234.79,41.98,1.06,0.75
2020-04-23,0.61,1229.04,41.38,1.05,0.75
2020-04-24,0.6,1233.88,35.93,1.11,0.75
2020-04-25,0.6,1233.88,35.93,1.11,0.75
2020-04-26,0.6,1233.88,35.93,1.11,0.75
2020-04-27,0.67,1224.16,33.29,1.17,0.75
2020-04-28,0.62,1224.83,33.57,1.14,0.75
2020-04-29,0.63,1219.2,31.23,1.14,0.75
2020-04-30,0.64,1203.95,34.15,1.07,0.75
2020-05-01,0.64,1223.2,37.19,1.06,0.5
2020-05-02,0.64,1223.2,37.19,1.06,0.5
2020-05-03,0.64,1223.2,37.19,1.06,0.5
2020-05-04,0.64,1228.81,35.97,1.07,0.5
2020-05-05,0.66,1220.13,33.61,1.1,0.5
2020-05-06,0.72,1222.03,34.12,1.1,0.5
2020-05-07,0.63,1224.76,31.44,1.08,0.5
2020-05-08,0.69,1216.47,27.98,1.12,0.5
2020-05-09,0.69,1216.47,27.98,1.12,0.5
2020-05-10,0.69,1216.47,27.98,1.12,0.5
2020-05-11,0.73,1220.2,27.57,1.13,0.5
2020-05-12,0.69,1222.0,33.04,1.09,0.5
2020-05-13,0.64,1223.86,35.28,1.07,0.5
2020-05-14,0.63,1227.76,32.61,1.06,0.5
2020-05-15,0.64,1230.71,31.89,1.09,0.5
2020-05-16,0.64,1230.71,31.89,1.09,0.5
2020-05-17,0.64,1230.71,31.89,1.09,0.5
2020-05-18,0.73,1232.32,29.3,1.17,0.5
2020-05-19,0.7,1225.19,30.53,1.15,0.5
2020-05-20,0.68,1230.02,27.99,1.16,0.5
2020-05-21,0.68,1230.53,29.53,1.14,0.5
2020-05-22,0.66,1236.53,28.16,1.12,0.5
2020-05-23,0.66,1236.53,28.16,1.12,0.5
2020-05-24,0.66,1236.53,28.16,1.12,0.5
2020-05-25,0.66,1236.53,28.16,1.12,0.5
2020-05-26,0.69,1234.24,28.01,1.13,0.5
2020-05-27,0.68,1238.03,27.62,1.14,0.5
2020-05-28,0.7,1239.28,28.59,1.18,0.5
2020-05-29,0.65,1236.61,27.51,1.15,0.5
2020-05-30,0.65,1236.61,27.51,1.15,0.5
2020-05-31,0.65,1236.61,27.51,1.15,0.5
2020-06-01,0.66,1224.79,28.23,1.18,0.5
2020-06-02,0.68,1225.07,26.84,1.18,0.5
2020-06-03,0.77,1216.08,25.66,1.21,0.5
2020-06-04,0.82,1218.77,25.81,1.22,0.5
2020-06-05,0.91,1202.79,24.52,1.27,0.5
2020-06-06,0.91,1202.79,24.52,1.27,0.5
2020-06-07,0.91,1202.79,24.52,1.27,0.5
2020-06-08,0.88,1197.84,25.81,1.28,0.5
2020-06-09,0.84,1197.04,27.57,1.26,0.5
2020-06-10,0.75,1189.9,27.57,1.27,0.5
2020-06-11,0.66,1196.34,40.79,1.21,0.5
2020-06-12,0.71,1204.52,36.09,1.21,0.5
2020-06-13,0.71,1204.52,36.09,1.21,0.5
2020-06-14,0.71,1204.52,36.09,1.21,0.5
2020-06-15,0.71,1212.21,34.4,1.23,0.5
2020-06-16,0.75,1207.26,33.67,1.27,0.5
2020-06-17,0.74,1215.02,33.47,1.26,0.5
2020-06-18,0.71,1211.65,32.94,1.28,0.5
2020-06-19,0.7,1208.38,35.12,1.3,0.5
2020-06-20,0.7,1208.38,35.12,1.3,0.5
2020-06-21,0.7,1208.38,35.12,1.3,0.5
2020-06-22,0.71,1210.73,31.77,1.34,0.5
2020-06-23,0.72,1206.43,31.37,1.38,0.5
2020-06-24,0.69,1199.55,33.84,1.33,0.5
2020-06-25,0.68,1203.59,32.22,1.33,0.5
2020-06-26,0.64,1203.44,34.73,1.32,0.5
2020-06-27,0.64,1203.44,34.73,1.32,0.5
2020-06-28,0.64,1203.44,34.73,1.32,0.5
