date,kospi_price,kospi_return,anomaly_flag,regime_hmm,regime_cusum,vix,usd_krw,us_10y,inflation_exp,bok_rate,anomaly_frequency_weekly
2020-01-02,2175.169921875,,,,,12.47,1157.95,1.88,1.8,1.25,
2020-01-03,2176.4599609375,0.0005930750740559265,0.0,1.0,1.0,14.02,1165.15,1.8,1.77,1.25,
2020-01-06,2155.070068359375,-0.009827836469323947,0.0,1.0,1.0,13.85,1167.49,1.81,1.75,1.25,
2020-01-07,2175.5400390625,0.009498517474519241,0.0,1.0,1.0,13.79,1166.21,1.83,1.74,1.25,
2020-01-08,2151.31005859375,-0.01113745554376988,0.0,1.0,1.0,13.45,1170.61,1.87,1.75,1.25,
2020-01-09,2186.449951171875,0.016334183181895723,0.0,1.0,1.0,12.54,1158.63,1.85,1.74,1.25,0.0
2020-01-10,2206.389892578125,0.009119779483432788,0.0,1.0,1.0,12.56,1161.18,1.83,1.76,1.25,0.0
2020-01-13,2229.260009765625,0.01036540153869936,0.0,1.0,1.0,12.32,1156.25,1.85,1.77,1.25,0.0
2020-01-14,2238.8798828125,0.004315276371860355,0.0,1.0,1.0,12.39,1156.28,1.82,1.77,1.25,0.0
2020-01-15,2230.97998046875,-0.0035285065556202033,0.0,1.0,1.0,12.42,1156.84,1.79,1.75,1.25,0.0
2020-01-16,2248.050048828125,0.007651376753182948,0.0,1.0,1.0,12.32,1160.86,1.81,1.74,1.25,0.0
2020-01-17,2250.570068359375,0.001120980172378161,0.0,1.0,1.0,12.1,1159.08,1.84,1.75,1.25,0.0
2020-01-20,2262.639892578125,0.005363007527932062,0.0,1.0,1.0,12.1,1159.08,1.84,1.75,1.25,0.0
2020-01-21,2239.68994140625,-0.01014299767592497,0.0,1.0,1.0,12.85,1166.56,1.78,1.74,1.25,0.0
2020-01-22,2267.25,0.012305300874122738,0.0,1.0,1.0,12.91,1165.68,1.77,1.72,1.25,0.0
2020-01-23,2246.1298828125,-0.00931530143896786,0.0,1.0,1.0,12.98,1168.38,1.74,1.7,1.25,0.0
2020-01-28,2176.719970703125,-0.03090200288082323,0.0,1.0,0.0,16.28,1176.23,1.65,1.65,1.25,0.0
